date,close,high,low,open,volume
2021-10-01,298.8285217285156,301.42855069791574,294.0452370016215,297.2793971260126,2814200
2021-10-04,295.7574157714844,299.50793190864755,293.6647306677579,297.59644291253625,2919900
2021-10-05,298.4842834472656,300.93933331568013,295.63059658092686,296.14698064689736,2514300
2021-10-06,299.28143310546875,299.544159152162,294.78805189500844,297.2884142714091,2226800
2021-10-07,305.7316589355469,307.3079600010007,301.5462611174258,302.126066539495,2789500
2021-10-08,302.8871154785156,303.85646235751113,299.7526211228065,301.6731786777109,2912200
2021-10-11,305.26971435546875,308.7937501455181,303.12267536141354,304.0286008540378,2589100
2021-10-12,306.0215148925781,308.9657717289947,305.6591503497323,307.2354789634076,2960300
2021-10-13,306.4563903808594,308.2319961177284,304.88912975622145,305.5867098878319,2477400
2021-10-14,311.6835632324219,311.9734659402022,308.1051751744272,308.4947163867698,2824300
2021-10-15,317.4452819824219,317.9344893766861,313.2236668427358,313.93935555792746,3473500
2021-10-18,321.6125183105469,322.46409022143,316.16789894032206,316.16789894032206,3487500
2021-10-19,324.3121643066406,324.4027623589878,321.0780322463332,323.360953873605,2375600
2021-10-20,324.52960205078125,325.74353852999417,322.699615409499,324.08567989252845,2574800
2021-10-21,330.31854248046875,330.52691529264536,324.43002688923525,324.502516409406,2885400
2021-10-22,331.5596008300781,332.5017709090832,328.08085089988293,330.6627436053085,2734700
2021-10-25,336.3338317871094,336.6961963735376,331.559587818153,332.655777323904,2923400
2021-10-26,334.4676818847656,338.8613981301394,334.35894760930654,338.263511671691,2989500
2021-10-27,337.2941589355469,339.8579157090581,334.5673145750176,335.0746305983742,2840300
2021-10-28,336.6146850585937,338.76172368990706,335.99866246288263,337.9101516589811,2553500
2021-10-29,336.7686767578125,339.85788548217874,335.2195521687933,335.49131871190286,3820200
2021-11-01,332.0035095214844,338.4265164962412,330.3909636146012,337.9101324468513,3380500
2021-11-02,332.7373352050781,334.18682131907497,330.6084050670185,331.74987987437135,2367100
2021-11-03,334.2592163085937,334.6125127541654,330.88917351762046,332.1393546952361,2378800
2021-11-04,337.167236328125,338.1184743818304,334.6578334618279,335.8989465698276,3210000
2021-11-05,333.74285888671875,339.1874785239286,332.9909530885244,338.6439178408276,3090200
2021-11-08,333.9150085449219,337.8286125409952,333.2446326587354,335.3916712318648,2357200
2021-11-09,335.7812194824219,338.7073682637268,334.0237221229151,334.8934303490495,2183300
2021-11-10,333.9059143066406,336.2885021220923,333.1268318671021,333.6069711406104,2161400
2021-11-11,333.04522705078125,337.0041150541651,331.4145453899556,336.0981900136969,2387300
2021-11-12,337.5749816894531,338.36313235339884,332.2028507748345,334.3951747312526,2793300
2021-11-15,336.1708068847656,339.6042721126146,334.5492202200777,339.16944558650874,3650600
2021-11-16,355.421630859375,357.2787941559968,343.3456597916485,346.06343546282244,8648200
2021-11-17,357.7046203613281,361.85374618827,354.04467430465024,355.8746335096657,4647000
2021-11-18,367.6697998046875,368.2948904925804,358.8279597587276,360.5582804523655,4503700
2021-11-19,370.2426452636719,371.52000336534377,366.0934915467549,369.2823665739013,3542000
2021-11-22,370.3332824707031,377.3723134549406,370.2517524955944,371.2482484002469,4006400
2021-11-23,369.9527282714844,371.1394882602824,365.09698169848576,367.5067464308998,3557000
2021-11-24,373.3408508300781,373.9206562749463,364.9791782576252,365.68579886440494,2676300
2021-11-26,364.8161315917969,375.179919298684,364.4084541456541,368.947148773239,3007800
2021-11-29,368.5485229492188,372.1631559097083,367.84190234837166,368.6209848058962,3725500
2021-11-30,362.9226989746094,370.0070410226891,362.5965791569375,365.6223661563524,7773500
2021-12-01,364.2508850097656,373.1929488140466,364.0689395000989,365.760916143854,3516200
2021-12-02,370.9369201660156,373.602280071458,364.77845107327175,365.5152831301221,3705000
2021-12-03,370.9733581542969,378.35989079168456,367.9168733778556,372.8290969177008,5237500
2021-12-06,378.1506652832031,382.617130418168,374.0753246885237,376.16755920503664,4624500
2021-12-07,378.5872802734375,380.7523040407464,375.71271346785807,379.3332179642052,4204500
2021-12-08,374.10260009765625,381.92578464277705,371.40087321873045,378.587276276312,4079400
2021-12-09,374.1844482421875,377.7412688187344,371.4099599609168,373.6932176270599,3822900
2021-12-10,377.8777465820313,378.0687699306406,373.2020468964878,374.95770720934223,2625200
2021-12-13,368.635498046875,378.8784143631131,367.9714552077008,377.877769541289,3766400
2021-12-14,365.87005615234375,369.0356966567385,362.1221845347644,367.0071460486887,4662800
2021-12-15,370.9733581542969,371.0825143590286,363.31393500507977,364.4328138645684,4421400
2021-12-16,363.4412841796875,371.93761805611246,362.1586432185061,371.510071069052,4632800
2021-12-17,352.9345397949219,362.0312594660639,352.42512571421673,361.1124818957632,11097500
2021-12-20,354.22625732421875,354.9267225037168,346.4940456281491,349.5778469122074,4294800
2021-12-21,355.1996459960937,358.1924748096441,348.622707089486,356.2548689039927,3038200
2021-12-22,359.90264892578125,360.0208829683663,353.7350460206302,355.681757455764,3267800
2021-12-23,361.2034912109375,363.723272820978,358.9747835614914,362.3132922336064,2743900
2021-12-27,367.58935546875,367.9168518247481,362.2404796623348,362.9955229691446,2228300
2021-12-28,369.5270080566406,370.25473464501454,366.59786273280247,368.4081013600507,2521400
2021-12-29,373.7295837402344,375.1213805760016,369.6087713236701,369.6724550165244,2209300
2021-12-30,372.9109497070313,376.0948017736789,371.51004702463,374.64842659472026,1804400
2021-12-31,377.52294921875,378.9056405315344,372.8654334693881,372.956378451834,2386100
2022-01-03,371.7284240722656,380.0973908212912,366.83438368243856,378.9421172364283,3715700
2022-01-04,375.5489807128906,376.2494181506624,371.3190115150501,371.7283750146094,3266500
2022-01-05,370.4547729492188,376.8042927584965,370.0636206977301,376.6041638315283,4443200
2022-01-06,369.1085815429688,372.1195941473625,366.6160609672326,371.6556524659936,3315100
2022-01-07,358.0560302734375,367.5894040968558,357.3919873920448,366.9253334544732,4520700
2022-01-10,352.46148681640625,352.5797486119465,346.50314663405806,352.4069087201546,6440000
2022-01-11,351.7428894042969,356.44587816432147,349.605154622019,353.01642467001983,4385400
2022-01-12,354.22625732421875,357.91044543599605,351.4790579861581,353.2165347691814,3623300
2022-01-13,352.0249938964844,358.6928795885293,351.0061376092117,357.0554805657256,3466300
2022-01-14,338.3979797363281,347.5038052251142,337.94314374205885,346.8852071745587,6336200
2022-01-18,333.5949401855469,334.8411864705909,327.5092318607944,333.03094794802223,6435200
2022-01-19,327.199951171875,335.39610545851207,326.9452441010855,334.01338613623585,5175100
2022-01-20,318.00311279296875,329.16480555240656,317.4936987142756,328.6917583643449,5440600
2022-01-21,317.5664978027344,327.56378410636694,315.8199153641221,319.94983397884084,7718400
2022-01-24,330.94775390625,331.4662735866497,312.57236918989366,312.7270256380951,8584300
2022-01-25,326.5540466308594,328.8645933961336,320.37736631679365,325.78992552411694,5536700
2022-01-26,325.0075988769531,332.84896678151017,322.4332394282053,327.4819077347215,6103300
2022-01-27,324.2344055175781,331.22978587628467,321.94204192150454,327.8730937557199,3941000
2022-01-28,333.43121337890625,333.59494769135773,320.96869472608523,327.63660664668856,4551300
2022-01-31,333.8314208984375,334.2225731727703,329.4922679468894,331.85742055982985,4084600
2022-02-01,335.3961486816406,337.20638746229105,329.63790815348347,336.0965862763313,3406800
2022-02-02,339.97174072265625,340.8268346591721,334.5409975458845,335.1049897676317,3839300
2022-02-03,331.8575134277344,338.5072149962011,330.3929545093928,336.75155431089973,4009700
