Date,3M,1Y,2Y,5Y,10Y,30Y
2010-01-04,0.054999999701976776,0.3841000080108643,0.3841000080108643,0.3841000080108643,0.3841000080108643,0.46599998474121096
2010-01-05,0.05999999865889549,0.37550001144409184,0.37550001144409184,0.37550001144409184,0.37550001144409184,0.45929999351501466
2010-01-06,0.04500000178813934,0.3808000087738037,0.3808000087738037,0.3808000087738037,0.3808000087738037,0.46710000038146976
2010-01-07,0.04500000178813934,0.3822000026702881,0.3822000026702881,0.3822000026702881,0.3822000026702881,0.46890001296997075
2010-01-08,0.03999999910593033,0.3808000087738037,0.3808000087738037,0.3808000087738037,0.3808000087738037,0.4695000171661377
2010-01-11,0.02500000037252903,0.3818000078201294,0.3818000078201294,0.3818000078201294,0.3818000078201294,0.47290000915527347
2010-01-12,0.03999999910593033,0.3719000101089478,0.3719000101089478,0.3719000101089478,0.3719000101089478,0.4623000144958496
2010-01-13,0.05000000074505806,0.3782999992370606,0.3782999992370606,0.3782999992370606,0.3782999992370606,0.47069997787475587
2010-01-14,0.04500000178813934,0.37339999675750735,0.37339999675750735,0.37339999675750735,0.37339999675750735,0.46240000724792485
2010-01-15,0.054999999701976776,0.36760001182556157,0.36760001182556157,0.36760001182556157,0.36760001182556157,0.45749998092651367
2010-01-19,0.05000000074505806,0.37070000171661377,0.37070000171661377,0.37070000171661377,0.37070000171661377,0.45980000495910645
2010-01-20,0.05000000074505806,0.36589999198913575,0.36589999198913575,0.36589999198913575,0.36589999198913575,0.4543000221252442
2010-01-21,0.03999999910593033,0.36110000610351567,0.36110000610351567,0.36110000610351567,0.36110000610351567,0.450600004196167
2010-01-22,0.04500000178813934,0.35980000495910647,0.35980000495910647,0.35980000495910647,0.35980000495910647,0.45100002288818364
2010-01-25,0.04500000178813934,0.36300001144409183,0.36300001144409183,0.36300001144409183,0.36300001144409183,0.45529999732971194
2010-01-26,0.06499999761581421,0.36300001144409183,0.36300001144409183,0.36300001144409183,0.36300001144409183,0.45659999847412114
2010-01-27,0.07000000029802322,0.3644000053405762,0.3644000053405762,0.3644000053405762,0.3644000053405762,0.45529999732971194
2010-01-28,0.07000000029802322,0.3657999992370606,0.3657999992370606,0.3657999992370606,0.3657999992370606,0.4568999767303467
2010-01-29,0.07000000029802322,0.36089999675750734,0.36089999675750734,0.36089999675750734,0.36089999675750734,0.45100002288818364
2010-02-01,0.08500000089406967,0.3654000043869019,0.3654000043869019,0.3654000043869019,0.3654000043869019,0.4568999767303467
2010-02-02,0.09000000357627869,0.3634999990463257,0.3634999990463257,0.3634999990463257,0.3634999990463257,0.45500001907348636
2010-02-03,0.09000000357627869,0.3703000068664551,0.3703000068664551,0.3703000068664551,0.3703000068664551,0.4631999969482422
2010-02-04,0.08500000089406967,0.36099998950958256,0.36099998950958256,0.36099998950958256,0.36099998950958256,0.4545000076293946
2010-02-05,0.08500000089406967,0.35460000038146977,0.35460000038146977,0.35460000038146977,0.35460000038146977,0.4493000030517578
2010-02-08,0.09000000357627869,0.35920000076293945,0.35920000076293945,0.35920000076293945,0.35920000076293945,0.4521999835968018
2010-02-09,0.10000000149011612,0.3632999897003174,0.3632999897003174,0.3632999897003174,0.3632999897003174,0.4567999839782715
2010-02-10,0.10000000149011612,0.3694000005722046,0.3694000005722046,0.3694000005722046,0.3694000005722046,0.4636000156402588
2010-02-11,0.0949999988079071,0.3733000040054322,0.3733000040054322,0.3733000040054322,0.3733000040054322,0.4678999900817871
2010-02-12,0.09000000357627869,0.3693000078201294,0.3693000078201294,0.3693000078201294,0.3693000078201294,0.4657000064849854
2010-02-16,0.08500000089406967,0.36640000343322754,0.36640000343322754,0.36640000343322754,0.36640000343322754,0.4638999938964844
2010-02-17,0.09000000357627869,0.37420001029968264,0.37420001029968264,0.37420001029968264,0.37420001029968264,0.47140002250671387
2010-02-18,0.08500000089406967,0.3802999973297119,0.3802999973297119,0.3802999973297119,0.3802999973297119,0.47519998550415044
2010-02-19,0.0949999988079071,0.37820000648498536,0.37820000648498536,0.37820000648498536,0.37820000648498536,0.4702000141143799
2010-02-22,0.08500000089406967,0.37990000247955324,0.37990000247955324,0.37990000247955324,0.37990000247955324,0.4730999946594239
2010-02-23,0.11500000208616257,0.3690999984741211,0.3690999984741211,0.3690999984741211,0.3690999984741211,0.4631999969482422
2010-02-24,0.10999999940395355,0.3694999933242798,0.3694999933242798,0.3694999933242798,0.3694999933242798,0.4633999824523926
2010-02-25,0.11500000208616257,0.36419999599456787,0.36419999599456787,0.36419999599456787,0.36419999599456787,0.45819997787475586
2010-02-26,0.11500000208616257,0.35950000286102296,0.35950000286102296,0.35950000286102296,0.35950000286102296,0.452899980545044
2010-03-01,0.11999999731779099,0.36059999465942383,0.36059999465942383,0.36059999465942383,0.36059999465942383,0.45570001602172855
2010-03-02,0.125,0.3614000082015991,0.3614000082015991,0.3614000082015991,0.3614000082015991,0.4568999767303467
2010-03-03,0.13500000536441803,0.36250000000000004,0.36250000000000004,0.36250000000000004,0.36250000000000004,0.45859999656677247
2010-03-04,0.13500000536441803,0.36059999465942383,0.36059999465942383,0.36059999465942383,0.36059999465942383,0.4556000232696533
2010-03-05,0.14499999582767487,0.36819999217987065,0.36819999217987065,0.36819999217987065,0.36819999217987065,0.4638999938964844
2010-03-08,0.14499999582767487,0.370799994468689,0.370799994468689,0.370799994468689,0.370799994468689,0.46719999313354493
2010-03-09,0.15000000596046448,0.3700999975204468,0.3700999975204468,0.3700999975204468,0.3700999975204468,0.4677000045776367
