date,close,high,low,open,volume,MACD,RSI,CCI,DX,Turbulence
2010-01-04,16.061180114746094,16.158756900418282,15.618830696225622,15.68388230025913,59853700,0.0,0.0,0.0,0.0,0.0
2010-01-05,15.989628791809082,16.08720561144523,15.8595255384565,16.002639365295657,45124500,0.0,0.0,0.0,0.0,0.0
2010-01-06,15.88554859161377,16.093712829351283,15.833507532179391,15.963610801143702,35715700,0.0,0.0,0.0,0.0,0.0
2010-01-07,15.957110404968262,15.983130322282996,15.7229249453501,15.807491227569376,31531200,0.0,0.0,0.0,0.0,0.0
2010-01-08,16.041669845581055,16.067690992555146,15.774959292879494,15.85952553903214,39115900,0.0,0.0,0.0,0.0,0.0
2010-01-11,15.99613094329834,16.191284544320382,15.87903828638258,16.028656129883235,35852900,0.0,0.0,0.0,0.0,0.0
2010-01-12,15.742432594299316,15.937586214914049,15.66437040159955,15.898555738942395,35780400,0.0,0.0,0.0,0.0,0.0
2010-01-13,16.02866554260254,16.067697278333124,15.742440258453968,15.79448133200435,43683900,0.0,0.0,0.0,0.0,0.0
2010-01-14,16.230316162109375,16.31488239118881,15.950595092394096,15.989625564218732,52302100,0.0,0.0,0.0,0.0,0.0
2010-01-15,15.872533798217772,16.327893877817807,15.807482181023998,16.26284226062403,51648100,0.0,0.0,0.0,0.0,0.0
2010-01-19,16.165266036987305,16.184780654318274,15.937585988993256,15.963607133109806,37607500,0.0,0.0,0.0,0.0,0.0
2010-01-20,15.879043579101562,16.087207820444302,15.690395200668483,16.015652137955705,42125400,0.0,0.0,0.0,0.0,0.0
2010-01-21,15.599316596984863,16.03516078003853,15.521255655971355,15.944089268604008,54767500,0.0,0.0,0.0,0.0,0.0
2010-01-22,14.94229793548584,15.566791678061437,14.877247563780228,15.508245350921335,70424300,0.0,0.0,-339.13270780180324,0.0,0.0
2010-01-25,14.955309867858888,15.078907818714898,14.792681442274397,15.026866772158115,51288800,0.0,31.60175124557459,-240.21397725906567,47.52245158973841,0.0
2010-01-26,14.896767616271973,15.09192252488878,14.727633858440113,14.83171598006637,55312800,0.0,30.95244237311055,-171.8082700506034,49.23872507859908,0.0
2010-01-27,15.059399604797363,15.130956545417346,14.805699529154952,14.890265807450072,51802900,0.0,34.9509886031148,-115.82952938983352,46.14979577320673,0.0
2010-01-28,14.64956760406494,15.104926411760284,14.538980234627042,15.078906511116472,63620000,0.0,30.204144988200916,-119.82662543036402,53.26751916060844,0.0
2010-01-29,14.61704158782959,15.046380506938965,14.597526971987747,14.929289089618871,73431900,0.0,29.857560223282793,-99.03582188798033,53.26751916060844,0.0
2010-02-01,14.786175727844238,14.922784246569517,14.55849569047303,14.734134682795652,54386100,0.0,34.09264302839173,-84.06159634633356,54.292853734992455,0.0
2010-02-02,14.974823951721191,15.033370277256871,14.64306185393777,14.838215445219184,54108900,0.0,38.54934582439922,-59.32662555752333,44.611799804907726,0.0
2010-02-03,15.007349967956545,15.124442625513794,14.864237409140095,15.06589629673517,80035500,0.0,39.31133742024878,-38.93987180607887,36.988684794335605,0.0
2010-02-04,15.065896034240724,15.462709757769607,15.026865562653784,15.22852444673534,126098600,0.0,40.73585311020139,-5.014064252405596,13.133720971677374,0.0
2010-02-05,15.417181015014648,15.53427248304756,15.06590288864525,15.156974444034256,99148600,0.0,48.540788973486734,33.457732107736064,8.816535433555357,0.0
2010-02-08,15.287070274353027,15.54727547768012,15.274059703997604,15.469214537060132,69909000,0.0,46.11815673018692,61.24702989258382,8.010017784854664,0.0
2010-02-09,15.540777206420898,15.612334134914782,15.3391182379235,15.48223085415442,60331600,0.0,51.2295712629746,111.77584647808112,3.8621703855747205,0.0
2010-02-10,15.456206321716309,15.612329467500537,15.365134796864623,15.521257942648854,50574100,0.0,49.5424384911112,120.88171264089496,3.862170385574705,0.0
2010-02-11,15.566795349121094,15.605825829500136,15.31309536552242,15.397661613136444,42458500,0.0,51.77880193540442,104.33152324179822,7.169270257406361,317.8653854344957
2010-02-12,15.456206321716309,15.482226225635443,15.293577889763178,15.430185177040702,56455000,0.0,49.419937401649015,70.24684246129326,8.441389956770394,219.12170151033686
2010-02-16,15.612329483032228,15.612329483032228,15.482226241037704,15.586308338330737,46758200,0.0,52.69625863300713,95.10611020305019,1.271082365480084,175.83309108427
2010-02-17,15.657865524291992,15.670876096874393,15.443196039708363,15.605824474718885,48505500,0.0,53.63951065251894,87.03494382829187,5.378082875118418,152.15304327980542
2010-02-18,15.794475555419922,15.846516609937096,15.547279615895889,15.644856438021012,41154700,0.0,56.44544700024695,109.64706742373096,16.588321109289478,209.75787149768655
2010-02-19,15.846522331237791,15.85953166899658,15.6513673757713,15.696903159819696,38781900,0.0,57.50082070931888,119.125261876025,17.369534052880475,173.82208249751915
2010-02-22,15.807488441467283,15.911570573895755,15.709911597410208,15.866034796052912,31374800,-0.05093087966496945,56.397092584296836,119.76740544989906,20.57269728770935,144.11077977064792
2010-02-23,15.644853591918944,15.761946253470311,15.501741028220817,15.7164104941462,36286000,-0.03731217138385112,51.92490282684615,57.14639958990784,3.3185658231577957,113.20578453869892
2010-02-24,15.833502769470217,15.90505966995198,15.670874352561734,15.670874352561734,33182100,-0.011168096072516676,56.25790651549886,109.98856148986133,12.580431689215457,91.94417055809517
2010-02-25,15.82700252532959,15.866033010408357,15.52776673846449,15.61233299626127,37112100,0.008923887571270939,56.07038037045206,72.63969122752502,2.0524325867277713,77.99249914932368
2010-02-26,15.82700252532959,15.91156878312637,15.748940314415314,15.846518388247349,30719800,0.024563773473710526,56.070380370452064,99.28599876692488,5.093686540342724,113.2592532075384
2010-03-01,16.002641677856445,16.03516687551656,15.820497344992248,15.827002632675622,41777800,0.050548416778633865,60.225157728662595,135.5306453777278,12.990792839934844,107.69837431394743
2010-03-02,16.00914192199707,16.10021343935949,15.89855454773283,16.0416671094104,51403800,0.07084924321076258,60.374525810755664,135.49722669653355,16.909316610897285,131.02516267011677
2010-03-03,16.158761978149414,16.217308316101562,16.00263882386253,16.067690448337864,50693400,0.09788255337673846,63.74905720426256,164.83992229544074,23.581302558732588,140.36773790104823
2010-03-04,16.230316162109375,16.249830777643528,16.041666606903693,16.158759263133934,40262000,0.12365505261609933,65.27221866244953,157.32183377485816,25.37366205410696,125.25324261747066
2010-03-05,16.399456024169922,16.41897188927128,16.210807624551023,16.243332825629732,57057100,0.15593064582993144,68.62779625061584,174.75451152177334,34.03860622712035,128.6693242585548
2010-03-08,16.997922897338867,17.14754199538275,16.431976657771113,16.464501847353095,116178200,0.2271817512407992,77.07024578944474,244.26521297185315,57.12944106283583,108.07862888033335
