date,open,high,low,close,volume,MACD,RSI,CCI,DX,Turbulence
2019-03-20,36.69195566509746,37.21364223853486,34.431313846868704,34.63998794555664,2350800,0.0,0.0,0.0,0.0,0.0
2019-03-21,34.772157782253686,34.77911243722942,33.5270649201763,34.069618225097656,1764700,0.0,0.0,0.0,0.0,0.0
2019-03-22,33.9444148386815,34.74433552453891,33.49924260264935,33.8052978515625,844700,0.0,0.0,0.0,0.0,0.0
2019-03-25,33.8053051939992,34.36177326333883,33.387956795430874,34.1878776550293,440900,0.0,0.0,0.0,0.0,0.0
2019-03-26,34.083536874965546,34.60522366386808,33.513159531373674,33.97919845581055,504700,0.0,0.0,0.0,0.0,0.0
2019-03-27,34.0835352483368,35.32167098580948,34.0835352483368,34.84867477416992,1788600,0.0,0.0,0.0,0.0,0.0
2019-03-28,35.40513493137082,35.4746920897805,34.71998604194988,35.37035369873047,585400,0.0,0.0,0.0,0.0,0.0
2019-03-29,34.445238882540515,36.50416203710961,34.20874077333757,35.91291809082031,1769000,0.0,0.0,0.0,0.0,0.0
2019-04-01,36.3789542622268,37.83272139546157,35.64859336781725,37.213653564453125,19663400,0.0,0.0,0.0,0.0,0.0
2019-04-02,38.34049801463339,39.91947025212666,37.77012070547815,39.12650680541992,17414200,0.0,0.0,0.0,0.0,0.0
2019-04-03,39.70384096623084,39.78731010349142,38.61177425882315,39.56472396850586,15066200,0.0,0.0,0.0,0.0,0.0
2019-04-04,39.78730798302518,42.0966410005014,39.71774816115187,41.53321838378906,13309200,0.0,0.0,0.0,0.0,0.0
2019-04-05,40.61504630515721,41.02543993022814,39.14041270890051,39.815128326416016,17000800,0.0,0.0,0.0,0.0,0.0
2019-04-08,39.30039204941017,40.615041907575296,39.140408470984106,39.75252151489258,10764600,0.0,0.0,91.78073008964105,0.0,0.0
2019-04-09,39.509076801367634,39.7873108017002,39.00825931557953,39.140419006347656,9179900,0.0,69.78599625734118,65.62004186560078,63.38517013482691,0.0
