date,open,high,low,close,volume,MACD,RSI,CCI,DX,Turbulence
2010-01-04,12.86944034210474,13.092152633233775,12.852676182049166,12.986783981323242,62259300,0.0,0.0,0.0,0.0,0.0
2010-01-05,12.953261807800835,12.97720905066165,12.828733678396969,12.857471466064451,46945200,0.0,0.0,0.0,0.0,0.0
2010-01-06,12.811966420998552,12.890993947723915,12.792809727566375,12.828730583190918,37551600,0.0,0.0,0.0,0.0,0.0
2010-01-07,12.8646562148555,12.871840661940956,12.754495606407271,12.835918426513672,31988100,0.0,0.0,0.0,0.0,0.0
2010-01-08,12.795204639486744,12.819151878460792,12.697019041283063,12.771257400512695,34089600,0.0,0.0,0.0,0.0,0.0
2010-01-11,12.771263441010392,13.037082578344243,12.71618449126049,12.98200225830078,41963100,0.0,0.0,0.0,0.0,0.0
2010-01-12,12.931710368926105,13.11131745738341,12.898183401814247,13.106528282165527,45351000,0.0,0.0,0.0,0.0,0.0
2010-01-13,13.12089513410621,13.219080757644663,13.029895328465615,13.173580169677734,39872100,0.0,0.0,0.0,0.0,0.0
2010-01-14,13.106530426391885,13.132872949839877,12.970028633150523,12.98200225830078,41316000,0.0,0.0,0.0,0.0,0.0
2010-01-15,13.0131276222786,13.063417371543428,12.83591586386103,12.855073928833008,57262500,0.0,0.0,0.0,0.0,0.0
2010-01-19,12.910152674942516,12.993969379333526,12.811967079446102,12.93889045715332,43855500,0.0,0.0,0.0,0.0,0.0
2010-01-20,12.912549854837424,12.917339029149243,12.747311693588491,12.898180961608888,39925800,0.0,0.0,0.0,0.0,0.0
2010-01-21,12.94847117042566,12.94847117042566,12.653915700405406,12.673073768615724,48086100,0.0,0.0,0.0,0.0,0.0
2010-01-22,12.682651341027016,12.804784176480531,12.61799270047557,12.677862167358398,58247700,0.0,0.0,-140.0447075628468,0.0,0.0
2010-01-25,12.72576035786884,12.744918428426312,12.639548355213556,12.663496971130373,36009900,0.0,37.74980756930218,-126.38059439784575,17.326393434093156,0.0
2010-01-26,12.649131963431882,12.898186957227724,12.627579983863892,12.838318824768066,46752000,0.0,45.52266825459601,-50.490338905998165,0.8840324383216429,0.0
2010-01-27,12.816764607563233,12.876632735971462,12.716185055602509,12.788026809692385,39576300,0.0,43.82726671963703,-43.896397129688815,0.8840324383216441,0.0
2010-01-28,12.783236038850257,12.800000208948234,12.574891141157185,12.59883975982666,50880300,0.0,38.0816382841425,-109.78806752549679,13.474451246218825,0.0
2010-01-29,12.855077460640748,12.967630609414163,12.788023529669962,12.795207977294922,72842400,0.0,45.995485994979866,-5.634120309578032,3.9852942888176868,0.0
2010-02-01,12.840704080797822,12.879020207886926,12.76646709842248,12.807178497314451,33058500,0.0,46.4448476328945,-21.388926336243465,1.815774322966586,0.0
2010-02-02,12.83351850091434,12.86465155042758,12.771255142473208,12.809571266174316,34163700,0.0,46.540602840655495,-15.024214776186167,1.8157743229665877,0.0
2010-02-03,12.867052979827903,13.051450632030756,12.845499633776104,12.996370315551758,53966700,0.0,53.52654102709017,111.96770522484466,18.834610028486225,0.0
2010-02-04,12.902970888990744,13.003551777167733,12.68265378456459,12.685049057006836,63089700,0.0,43.35742956146409,-16.625240616381365,2.202864402400832,0.0
2010-02-05,12.637152121198142,12.819153072767254,12.634756848960413,12.799996376037598,46637400,0.0,47.335790229674885,-46.76521223306609,2.1355933699034133,0.0
2010-02-08,12.783232402152038,12.82154853677051,12.673073172550666,12.67546844482422,31517700,0.0,43.750709728986045,-65.44896932361905,1.9026103769836118,0.0
2010-02-09,12.742524501753842,12.84070875674046,12.64912805153085,12.752102851867676,32475000,0.0,46.43913856562191,-31.598907969787493,4.253763352819397,0.0
2010-02-10,12.756891252661942,12.811970188206775,12.68265424775892,12.74970817565918,28225200,0.0,46.364566635450096,-29.417360626229232,4.253763352819395,0.0
2010-02-11,12.723365071773744,12.799998724216136,12.670681405516213,12.71139144897461,34738800,0.0,45.11617797424125,-57.5407687543517,5.5662660033980496,36.89337835653523
2010-02-12,12.718574173257805,12.718574173257805,12.61081021237506,12.66828441619873,51115200,0.0,43.6909017806596,-126.80093401385456,12.058270541791007,29.35462699157926
2010-02-16,12.74970975869975,12.8646581891212,12.668286926097856,12.826340675354004,47313600,0.0,49.936016048667746,14.297225859629897,5.087082931375826,3.7152534345065993
2010-02-17,12.857470504931472,12.99157560304453,12.847890786327376,12.94607639312744,46602600,0.0,54.09000878678854,144.929462396367,16.972817482451756,18.390234193821737
2010-02-18,12.740127080066344,12.811968804681673,12.670679257429022,12.80478572845459,88372500,0.0,48.93064988396954,-32.11061764044329,1.5630995671607386,44.746894740797316
2010-02-19,12.737728191661567,12.831124599615942,12.708991784032074,12.809571266174316,45271200,0.0,49.10771483304687,-4.0298940749149565,0.2764843221570709,144.64063436638966
2010-02-22,12.816761829081846,12.912552184062728,12.77365651191378,12.890998840332031,36291600,-0.018355198460568545,52.14789124505502,79.16399462473136,7.9120710207994325,123.075102177025
2010-02-23,12.871841796149656,12.950867980466777,12.799998689257766,12.84070873260498,42414000,-0.01428426793279236,50.15511818347943,74.50182478126267,11.351659080334777,126.65973762846392
2010-02-24,12.869445613239463,12.919735373418868,12.807182231140503,12.912550926208496,31872600,-0.005201007568782501,52.92278349934527,112.00827671352188,11.351659080334779,190.33760683438712
2010-02-25,12.802393146222846,12.998763034626837,12.752103380308002,12.967631340026855,40530300,0.006368656867946854,54.98644565926645,112.2265861854977,18.62240881683723,288.9628889253585
2010-02-26,12.98439330338304,12.989182477824944,12.811969320543191,12.948471069335938,47858700,0.013832176848811883,54.098065825625284,99.85016767302942,18.622408816837233,224.01553019315625
2010-03-01,12.9412862104361,12.962839550178035,12.82154863144252,12.907760620117188,36386100,0.0162744751656696,52.16943923622899,70.59027244384733,18.622408816837233,199.53538576622248
2010-03-02,12.890994127584769,12.905363018152189,12.804783524765895,12.83351993560791,42245100,0.01208015884149205,48.75583060710553,20.408308701632514,16.09939412509905,161.20303665775995
2010-03-03,12.776050960073055,12.871842689438925,12.728156465683506,12.850289344787598,34893600,0.009994078592251654,49.55869891860867,-15.413815656218638,5.096617428551123,136.08342798995938
2010-03-04,12.93649906351096,12.953263231590714,12.87184177473843,12.922131538391112,33635400,0.013976793800194898,52.95904042809764,80.51551132565109,14.381501166686586,115.44205576660802
2010-03-05,12.92452620152355,12.972422065622132,12.811971674553233,12.965237617492676,34125300,0.020376536597424888,54.922576839252244,77.89002233985946,6.157096196268396,104.79357897682465
