fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Operating Cash Flow Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2021-09-30,HON,1.2883159301232243,1.4555846983718514,0.0553768496065719,0.7177018585159913,2.5821096289653624,19.88888888888889,0.1319655403405462,1.1447553855445942,318.8454097784031,0.0198314405446246,0.0713485035309942,0.3212051996374959
2021-06-30,HON,1.4138786308769222,1.642561869591578,0.0704403902331477,0.7152396590820236,2.549671089307615,23.66265060240964,0.1377277347720697,1.252805420283718,291.34612134527634,0.0226288216435999,0.0806667409967666,0.3489481052040454
2021-03-31,HON,1.4254596100278552,1.677493036211699,0.0544846796657381,0.7127326505246928,2.5187367952852218,21.677777777777777,0.1329903557212756,1.21814629911005,299.6356022808268,0.0227812652412643,0.0805070610474813,0.3538746569276065
2020-12-31,HON,1.4676772412356098,1.8428400270875656,0.1449184768453404,0.724444926144985,2.6661918058009,19.0,0.1378162450066578,1.3210069057696592,276.3043844856661,0.0213513764592945,0.0785799760670123,0.3539778061546895
2020-09-30,HON,1.6410614525139664,2.033868715083799,0.0586010242085661,0.7113096645077924,2.4974549076020804,12.366336633663366,0.122882491057218,1.1258235919234856,324.2070983575609,0.0123071589530247,0.0432112426690273,0.2836807327000535
2020-06-30,HON,1.6331814774234472,1.9764142782999827,0.0853468658093535,0.7111345198415194,2.492478095552984,14.544444444444444,0.1175712219357273,1.0734273090679571,340.03234025872206,0.0172787874976416,0.0605609742657188,0.3369148443512201
2020-03-31,HON,1.301317833918398,1.3174886344017955,0.0540369453875812,0.6887604054195257,2.241555202901836,27.506849315068493,0.147382536310125,1.2096422338568935,301.74211000901715,0.0279683744906133,0.0910224438902743,0.350268069269387
2019-12-31,HON,1.342855564150735,1.4160128190960326,0.1444358492651121,0.6810954515243954,2.1610251973613064,19.9010989010989,0.1618125734930725,1.4186835557566162,257.28077168367344,0.0270965762879394,0.0859738293500594,0.3573742362826609
2019-09-30,HON,1.3149887019834297,1.4762239517951292,0.0738639216670851,0.6953114601357647,2.3077475288530565,22.0625,0.1511546652469053,1.2992827646163878,280.9242221478755,0.027419140157061,0.0910044729140206,0.3600606297670766
2019-06-30,HON,1.194732080024128,1.1992057906906606,0.0843470393083341,0.6871515151515152,2.2206491326245104,24.75294117647059,0.160034632034632,1.3117391304347823,278.2565462379848,0.0269437229437229,0.0870733072188024,0.3163821205981142
2019-03-31,HON,1.2419741744500588,1.2533557903332824,0.0578778135048231,0.6761782786885245,2.1099269995204346,22.95294117647059,0.151707650273224,1.2854001759014952,283.95826205952784,0.0245218579234972,0.0765172909895028,0.3165942601491746
2018-12-31,HON,1.2873599661805115,1.3782498414711477,0.0823821602198266,0.6821179443684766,2.1676567656765675,20.53333333333333,0.1684004638845135,1.4976883957466482,243.70890569532332,0.0301351842556211,0.0957645764576457,0.35474877690709
2018-09-30,HON,1.4875977653631285,1.573966480446927,0.1049162011173184,0.7025045618227913,2.3852184878556937,19.646464646464647,0.1737852632938782,1.4414147401699269,253.223440712817,0.0380447946776042,0.1291737485607763,0.4119572402017341
2018-06-30,HON,1.375235875235875,1.3744033744033743,0.1032856032856032,0.7030070163715336,2.391022727272728,21.86315789473684,0.1824089542265285,1.5438230383973288,236.426061097594,0.0213832275309054,0.0727272727272727,0.301850749035303
2018-03-31,HON,1.364276193015196,1.310157291388963,0.0605705145294588,0.7082923147601233,2.453481102585962,23.46987951807229,0.1705552274069698,1.4773394880402853,247.0657577048715,0.0238071798910546,0.0824666098323387,0.3139252604025402
2017-12-31,HON,1.378611950585865,1.218599225915911,0.1151582630825513,0.7196906003026736,2.5936250151496787,21.03703703703704,0.1823272238103245,1.5846520702362887,230.3344733242134,-0.0403396670590213,-0.1453763180220579,0.2251323709663214
2017-09-30,HON,1.3522085048010974,1.2820301783264747,0.0772016460905349,0.6260040868094702,1.6862959096517036,22.96296296296296,0.1782870631341601,1.406019785308356,259.5980538922156,0.0240452367531003,0.064771756666983,0.3173672718003976
2017-06-30,HON,1.338301540514988,1.345642622768478,0.080473833490907,0.6307932744125889,1.71921664626683,23.39240506329114,0.181037579938205,1.4728015480541818,247.8270072992701,0.0251490982251922,0.0685434516523867,0.3267204454302252
2017-03-31,HON,1.3645043689601295,1.3642150338522077,0.0543950002893351,0.626170612826083,1.687792156669783,23.84,0.1732780810164479,1.3370593293207222,272.9871382636656,0.0243158874751273,0.0655415046991093,0.3301690354076829
2016-12-31,HON,1.4119159879982854,1.4612087441063009,0.1250382707733758,0.6389391644812175,1.7861531312922712,17.093023255813954,0.1844088205961659,1.5499312872194229,235.49431062509237,0.205389133084623,0.5741649026795395,0.5688548017618135
2016-09-30,HON,1.198814033931807,1.1798715203426124,0.0908691593916433,0.6382478153708268,1.7811474128497733,20.73170731707317,0.1830607214877884,1.455635491606715,250.7495881383855,0.02330271118082,0.0650304830389245,0.288967592828445
2016-06-30,HON,1.280874866444598,1.1828294890327449,0.0994909182326692,0.6298431058400579,1.7173299238186563,21.65882352941177,0.1952091596490885,1.4581017528858486,250.32546547427063,0.0252046657939469,0.068723030206169,0.3012159121061684
