fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2025-08-31,NKE,2.190266703326918,1.742278434607277,0.6392564418492527,1.772052272052272,14.714285714285714,0.3139229656613275,0.8352230712349027,437.00900103290536,0.019472866555954357,0.05397980397980398,0.3884914336201314
2025-05-31,NKE,2.2110543251940187,1.8592655688056028,0.6387818147024249,1.7684098993415576,4.863636363636363,0.30337078651685395,0.8850313793563894,412.4147555823778,0.005768337023975505,0.015969121319912207,0.27378713966232315
2025-02-28,NKE,2.1927292167869554,1.9329056402031541,0.6293758103352473,1.698150924537731,10.233766233766234,0.2981769110681872,0.8746518105849582,417.3089171974522,0.02100918159447517,0.056685942742914254,0.35426070282080435
2024-11-30,NKE,2.2212342166103505,1.8904499377556465,0.6302062751916542,1.7042103013464416,19.492957746478872,0.325456413498775,0.8726976569352212,418.24335965541997,0.030638320292947652,0.08285246135214078,0.43779376791512353
2024-08-31,NKE,2.3560406473466315,2.044975536319157,0.6317638048960836,1.7156483075157773,16.12,0.3060448411545673,0.7672361565491337,475.7335754895767,0.027755037367628806,0.07537292025243833,0.437191105157746
2024-05-31,NKE,2.3961106391012934,2.2795242141036534,0.6213592233009708,1.641025641025641,21.774647887323944,0.3307793230123327,0.9272509642239659,393.6366896156053,0.039359748097612175,0.10395010395010396,0.4838727253435332
2024-02-29,NKE,2.741499612360173,2.4859895891017834,0.61917764214584,1.625896246309574,22.64406779661017,0.3327176357211693,0.8888169816205022,410.65822047473426,0.03137380875896777,0.0823843666526079,0.4600126451442404
2023-11-30,NKE,2.7370818979886655,2.291365707300811,0.6197618471628632,1.6299307224657147,26.83823529411765,0.35986345187216084,0.9295651084095752,392.6567345287852,0.04241593419885493,0.11155096847165276,0.4985058295325042
2023-08-31,NKE,2.866091478548635,2.0216286490958515,0.6202087750774751,1.6330255529310715,25.46031746031746,0.35173707388680475,0.8299609105541503,439.7797478875191,0.03941716957538194,0.10378641471619784,0.48828397789717376
2023-05-31,NKE,2.7227744165946413,2.054127052722558,0.6268684554101942,1.6800199942873464,17.197183098591548,0.341717513522155,0.8552164655784245,426.79253112033194,0.02747062428392529,0.0736218223364753,0.44308886901637173
2023-02-28,NKE,2.7267490573942186,1.929514034352744,0.6205410769311119,1.635331360539536,19.08108108108108,0.32354938110408943,0.7882088714205503,463.07522439093884,0.03238105186191048,0.08533480145894984,0.46475179661885263
2022-11-30,NKE,2.69114619080302,1.8057652711050103,0.6148006154311801,1.5960581456259821,25.19047619047619,0.3358387772088683,0.8153549217242119,447.6578116780642,0.03357126642621131,0.08715295966474594,0.46871006205729737
2022-08-31,NKE,2.6446561040388312,1.777818481545929,0.6149240654205608,1.596890405764126,22.30263157894737,0.308776285046729,0.7319395570275306,498.67505656108597,0.035728193146417446,0.09278220199721907,0.4807242621508596
2022-05-31,NKE,2.6293569431500465,2.033084808946878,0.6210163438406786,1.6386362149074014,19.573333333333334,0.30341509387167975,0.7994061757719715,456.5889169514188,0.03568859899308053,0.0941692297624501,0.48065507155679904
2022-02-28,NKE,3.0576094352460874,2.408142435926514,0.6161184125255982,1.604969950705652,22.315068493150687,0.28180003629105427,0.7537662337662338,484.23501033769816,0.036187365528682895,0.09426699979742048,0.4884469159351873
2021-11-30,NKE,3.06842045839449,2.8506266230100485,0.6165172032787728,1.6076789064593944,20.194444444444443,0.2918261942081867,0.9443590531816785,386.5055338541667,0.03435516612277411,0.08958724202626642,0.4783095452362508
2021-08-31,NKE,3.191437900592575,3.117789333655823,0.6217264024052536,1.6435892072788119,28.7027027027027,0.32302133607616634,0.9780564263322884,373.18910256410254,0.04942374132974655,0.13065606916265773,0.5313245369356865
2021-05-31,NKE,2.717696919578251,2.5057887120115776,0.6617117117117117,1.956058588548602,25.85135135135135,0.32708002119766827,0.9759264662970528,374.0035879802661,0.03998410174880763,0.11819534737996397,0.4899967593539281
2021-02-28,NKE,2.777153136946256,2.32752417360018,0.6702777393947769,2.0328555862878215,23.97142857142857,0.28622357330385517,0.8423726281189302,433.29992905285565,0.040044217217078903,0.12144832788534071,0.4982235731546848
