fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Operating Cash Flow Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2021-09-30,CAT,1.61275793039729,1.365029257776409,0.0669849091469048,0.7933377896613191,3.8457245724572457,16.57017543859649,0.153458605664488,0.6386653007463778,571.5043538038497,0.0176767676767676,0.0856885688568857,0.320309003726299
2021-06-30,CAT,1.5612185546022974,1.4296568271048422,0.0769957830449323,0.7933828659559102,3.850591100813877,16.722689075630253,0.1577658910363905,0.7099905303030303,514.0913637879294,0.0173078570816553,0.0840016633992752,0.319266933347921
2021-03-31,CAT,1.6021145308149598,1.5046278877266912,0.0725411994882986,0.7941631879498073,3.868460749411694,15.170212765957446,0.1472457233460095,0.669767059017203,544.9655892835198,0.0188532002130585,0.0918361189887165,0.3437290436501303
2020-12-31,CAT,1.534549130925069,1.379787689077264,0.0805692732433798,0.8036617128849395,4.105798708499119,8.30232558139535,0.1434426229508196,0.6939133485353447,526.0022750252781,0.0098820284970124,0.0504859435131433,0.2073351935471115
2020-09-30,CAT,1.542717591480503,1.3841380414764992,0.0694210905596925,0.8046155249475508,4.130510402033581,7.4,0.1287577696407396,0.6160831223260281,592.452522675737,0.00880885054925,0.0452204160813432,0.1991145972972948
2020-06-30,CAT,1.5006143236494789,1.3276128571994767,0.055130593317744,0.8200637358618708,4.571792631425659,6.067164179104478,0.1305670924431209,0.6386421598803975,571.5250619664005,0.0058903429720763,0.0328382117372943,0.16413323438917
2020-03-31,CAT,1.4174837833760747,1.1771760446522854,0.0426157791522099,0.8123830605844994,4.34281890540255,14.517857142857142,0.1401296545181437,0.633384405856316,576.2693186399678,0.0143357841199567,0.076635908994858,0.2717634146133113
2019-12-31,CAT,1.472258743097555,1.2955185755606475,0.0914315765748844,0.8135316686423719,4.375102824239101,13.306306306306306,0.1675398008999018,0.8254926327001598,442.1602150537634,0.0138809223356659,0.0746503975870578,0.2631645651922064
2019-09-30,CAT,1.4396529539355172,1.2256534686224771,0.0282710194478144,0.8077647994050748,4.213483146067416,20.871287128712872,0.1635787827112689,0.719047619047619,507.6158940397351,0.0191555652430346,0.0999197431781701,0.3030724656089734
2019-06-30,CAT,1.4346133044889129,1.2061654948620877,0.0933117000180277,0.8121156250394636,4.334366785738357,22.145631067961165,0.1822521373457764,0.8439243774464895,432.5032073423468,0.0204452751082879,0.1091190941565006,0.3028347508470189
2019-03-31,CAT,1.428581860668906,1.176025996786914,0.0409303344530451,0.803394050250235,4.097169139081427,23.205882352941178,0.1710489546020374,0.7449756888168557,489.94887414337,0.0238421868251911,0.1215909827038932,0.3242716711566962
2018-12-31,CAT,1.3680275001771918,1.177688000567014,0.0738181302714579,0.8206575042351832,4.589286986252582,14.959183673469388,0.1826796927740768,0.8826437678896696,413.5303655660377,0.0133233132507101,0.0745067312486644,0.2544193619267135
2018-09-30,CAT,1.477125187262321,1.263396458341336,0.0534705950140206,0.796826452198596,3.9317981072555206,21.931372549019606,0.1727422675139689,0.7793296089385475,468.35125448028674,0.0219923538211714,0.1085173501577287,0.3211822414966878
2018-06-30,CAT,1.3654063604240283,1.2086572438162544,0.0759010600706713,0.8108296301923101,4.304388735802137,22.88,0.1773836200893818,0.8533096401599289,427.7462515618492,0.0214718877790016,0.1139861549835338,0.3069089405017835
