fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2018-06-30,BA,1.1116243165004824,0.37603087809585073,1.0121383453332744,-79.50659264399722,24.724770642201836,0.21430275188833428,0.31895510204081634,1144.3616912366913,0.019400150183311985,-1.523941707147814,0.2180456404310931
2018-03-31,BA,1.1457792723613833,0.41489699729915797,0.9885688117024368,91.85842880523731,28.833333333333332,0.20591991122775188,0.3070649071007944,1188.6737675308116,0.021814370888338954,2.0270049099836336,0.3307826324670105
2017-12-31,BA,1.158026622118751,0.5056247667454549,0.9955378900284838,258.9323943661972,32.956989247311824,0.2747446741684988,0.46064856575861446,792.3610907132717,0.07399304690630652,19.24507042253521,0.42763069454993324
2017-09-30,BA,1.1788858460916392,0.5186090536492124,0.9874185502214116,82.74585635359117,30.49425287356322,0.26616633885305524,0.4637586855987544,787.0472539587091,0.02036107112639687,1.7062615101289134,0.31641586999835025
2017-06-30,BA,1.1875295318376835,0.5202517530098849,1.021968990181705,-45.171330387825236,27.408602150537636,0.2560198142965036,0.44053423786304857,828.5394610202117,0.019558843129414902,-0.8645066273932254,0.21681880000991394
2017-03-31,BA,1.2528273839416646,0.5282135754605171,0.9982714975522174,942.2947368421053,23.517241379310345,0.23391656351410123,0.39919531990658313,914.33937673772,0.01618101323698326,15.273684210526316,0.31772021758630375
2016-12-31,BA,1.2464195954841026,0.535804045158974,0.9902552307299132,109.08200734394124,27.620253164556964,0.25874195806526884,0.4505659853237343,810.0922215371969,0.03307888040712468,3.6438188494492043,0.3626249664300647
2016-09-30,BA,1.2835282228959146,0.5745839262513147,0.9758291174817313,41.550981330780274,28.19753086419753,0.2686677908937605,0.4663542642924086,782.6668006430868,0.02562113546936481,1.0909526089037818,0.34413341510326484
2016-06-30,BA,1.2737319240257525,0.5469423775045629,0.9927797431061612,152.07179487179488,-5.561643835616438,0.2762557332410807,0.505296274500928,722.3484882418813,-0.002611344842593936,-0.4,0.07294303251690545
2016-03-31,BA,1.3245350081790093,0.5198416705373912,0.9551487214217833,21.627751669552314,23.698630136986303,0.2472172763716998,0.40403249693225574,903.3926794784521,0.01331556468262204,0.3015087806084591,0.31265617952174163
2015-12-31,BA,1.3535269380306276,0.6254264857573594,0.9322409117871366,13.89281767955801,15.208333333333334,0.24969282264214898,0.43680301331019744,835.6169460323612,0.010867723074315735,0.16195737963693765,0.27504530979337916
2015-09-30,BA,1.1689731525048437,0.4817153335178522,0.9314531606699126,13.681305637982195,37.35820895522388,0.2611062849754541,0.4442250740375123,821.6555555555556,0.01721246893876644,0.25281899109792283,0.30739505918410526
2015-06-30,BA,1.1692453094371325,0.46293055166619995,0.9357097714623555,14.654374201787995,21.773333333333333,0.25017838576175816,0.4354654483152484,838.1836065573771,0.011314754031518215,0.1772030651340996,0.2588414581767901
